,Category,Item_Description_PREPROCESSED
3978,Property Services,Acf Industries Inc Base Rent Lease Rent Real Estate Store Management
3979,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
3980,Charity & Trusts,Charity Organizations Charity Organizations Charity Organizations Bull Inc Non Procurable
3981,Advertising,Digital Paid Media SMAP Media Buy Mobile Mail Direct Messaging Media Buy Bormans Inc
3982,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Butler Manufacturing Miscellaneous Company Car Field Only Ground Transportation
3983,Labour,Human Resources Corporate Services Contingent Labor Temp Labor Contingent Labor Temp Labor Butler National Corp
3984,Property Services,Building and Property Insurance Commercial Insurance Dec Corning Natural Gas Corp Corporate Services Building and Property Insurance
3985,Passenger Road Transportation,Chyron Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
3986,Property Services,Final Site Clean Facility Construction Church Loans Investments Trust Jan General Requirements General Contractor
3987,Advertising,Aquila Distributors Inc Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
3988,Property Services,First National Nebraska Inc Base Rent Lease Rent Real Estate Store Management
3989,Property Services,Real Estate Lease Rent Base Rent Campbell Resources Inc Mar Store Management
3990,Property Services,Jul American Maize Products Base Rent Lease Rent Store Management Real Estate
3991,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
3992,Property Services,Base Rent Store Management Aep Texas Central Real Estate Lease Rent
3993,Property Services,Callon Petroleum Base Rent Mar Lease Rent Real Estate Store Management
3994,Property Services,Bristol Myers Squibb Base Rent Sep Lease Rent Real Estate Store Management
3995,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc Corporate Services
3996,Property Services,Real Estate General Search Appraisal Realtor Commission Store Management Tri Valley Corp Real Estate Real Estate Services
3997,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Century Business Credit Corp
3998,Property Services,Allied Capital Corp Old Base Rent Oct Lease Rent Real Estate Store Management
3999,Logistics,Logistics Supply Chain Transportation Services Freight Forwarders Services Other Alabama Power
4000,Labour,Contingent Labor Temp Labor Corporate Services Ashton Harris Human Resources Contingent Labor Temp Labor
4001,Property Services,Final Site Clean Store Construction American Pad Paper General Contractor General Requirements
4002,Property Services,Store Management Base Rent Real Estate Lease Rent Bradley Woods Ltd
4003,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
4004,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Other Corporate Services Auto Leasing and Maintenance
4005,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
4006,Labour,Contingent Labor Temp Labor Corporate Services World Wide Ltd Aug Contingent Labor Temp Labor Human Resources
4007,Property Services,General Contractor Store Construction General Requirements Final Site Clean Oct Advance Circuits Inc
4008,Labour,Alpha Industries Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
4009,Property Services,Bancwest Corp Base Rent Lease Rent Real Estate Store Management
4010,Property Services,Store Management Base Rent Real Estate Lease Rent Arbor Inc
4011,Property Services,General Contractor General Requirements Final Site Clean Flightsafety International Inc Aug Facility Construction
4012,Property Services,Facility Construction Final Site Clean General Contractor General Requirements Flightsafety International Inc
4013,Property Services,Store Management Lease Rent Emc Energies Inc Real Estate Base Rent Dec
4014,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Butler Manufacturing Ground Transportation Miscellaneous Company Car Field Only
4015,Labour,Contingent Labor Temp Labor Human Resources Forchheimer Paul Inc Corporate Services Contingent Labor Temp Labor
4016,Property Services,Aerotelesis Inc Real Estate General Search Appraisal Realtor Commission Jan Real Estate Services Real Estate Store Management
4017,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
4018,Human Resources,Oct Essex Group Inc Retirement and Pension Funds Benefits Corporate Services Human Resources
4019,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Nov Corning Inc
4020,Advertising,SMAP Digital Social Reunion Resources Production Digital Display
4021,Property Services,Base Rent Store Management Detrex Corporation Lease Rent Real Estate
4022,Property Services,Store Construction General Requirements Oakhill Sportswear Corp General Contractor Final Site Clean Jan
4023,Property Services,Amerace Corp Qual Stk Opt Qual Non Qual Stk Base Rent Lease Rent Store Management Real Estate
4024,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Jul Daly John
4025,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
4026,Property Services,Base Rent Store Management Continental Conveyor Equipment Lease Rent Real Estate
4027,Property Services,Base Rent Store Management Triarc Companies Inc Lease Rent Real Estate
4028,Advertising,Brokerage Inc Catalogue Media Buy Traditional National Advertising SMAP
4029,Labour,Contingent Labor Temp Labor Corporate Services Frankel Incorporated Contingent Labor Temp Labor Human Resources
4030,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Ashland Inc Corporate Services
4031,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akorn Inc Oct Miscellaneous Company Car Field Only Ground Transportation
4032,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Chyron Corp Miscellaneous Company Car Field Only Ground Transportation
4033,Human Resources,Corporate Services Workmen Insurance Bates Charles Howard Commercial Insurance Workmen Insurance
4034,Advertising,Legg Mason Wood Walker Inc Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
4035,Property Services,Bancwest Corp Base Rent Lease Rent Store Management Real Estate
4036,Property Services,General Requirements General Contractor Frontier Planning Services Ltd Store Construction Final Site Clean
4037,Advertising,Digital Social Production Barry Corp SMAP Digital Display
4038,Property Services,Real Estate Lease Rent Base Rent Campbell Advisors Inc Store Management
4039,Property Services,Store Construction Final Site Clean General Contractor General Requirements Caesars World Inc
4040,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akorn Inc Ground Transportation Miscellaneous Company Car Field Only
4041,Passenger Road Transportation,Fortune Natural Resources Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4042,Advertising,SMAP Talent Artists Models for Trade Show Events and Promotions Trade Show Expenses Axia Inc
4043,Property Services,Store Construction General Requirements Florida Power Light General Contractor Final Site Clean
4044,Property Services,Base Rent Store Management Albert Fried Llc Real Estate Lease Rent
4045,Advertising,SMAP Artworking Typesetting Champion Parts Inc Production Prototype and Comp Production Packaging Design Sep
4046,Property Services,General Contractor General Requirements Final Site Clean American Pad Paper Store Construction
4047,Property Services,Final Site Clean Store Construction Invesco Advisers Inc General Contractor General Requirements
4048,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr Travel and Entertainment
4049,Advertising,SMAP Post Card Mailer Printed Collateral Direct Mail Dec Connecticut Yankee Atomic Power
4050,Passenger Road Transportation,Brother Industries Ltd Adr Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4051,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Brown Associates Inc Corporate Services
4052,Property Services,Coventry Care Inc Base Rent Lease Rent Real Estate Store Management
4053,Property Services,Edgewood Management Adv Base Rent Lease Rent Store Management Real Estate
4054,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Jan Fortune National Corp
4055,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
4056,Property Services,Store Management Lease Rent Baldwin Lyons Inc Real Estate Base Rent
4057,Property Services,Armatron International Inc Base Rent Lease Rent Real Estate Store Management
4058,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc
4059,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp Travel and Entertainment
4060,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Aug Metric Capital Corp Travel and Entertainment Miscellaneous Company Car Field Only
4061,Advertising,SMAP Digital Social Barry Corp Production Digital Display
4062,Property Services,Base Rent Store Management Dillard Department Stores Inc Lease Rent Real Estate
4063,Property Services,Real Estate Store Management Lease Rent Base Rent Jan Dean Foods
4064,Labour,First Alabama Bancshares Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
4065,Labour,Engel John William Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
4066,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fortune National Corp
4067,Passenger Road Transportation,Butler Manufacturing Dec Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4068,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp Travel and Entertainment
4069,Property Services,Real Estate Services Real Estate American Recreation Centers Inc Store Management Real Estate General Search Appraisal Realtor Commission
4070,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
4071,Passenger Road Transportation,Brother Industries Ltd Adr Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4072,Passenger Road Transportation,Fortune National Corp Dec Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4073,Property Services,Capital Southwest Corp Final Site Clean General Requirements Store Construction General Contractor
4074,Property Services,General Contractor Store Construction General Requirements Final Site Clean Erly Industries Inc
4075,IT - Managed Services,Atwood Oceanics Inc Qualified Stock Option Plans Managed Services Managed Services Information Technology Managed Services
4076,Passenger Road Transportation,Miscellaneous Company Car Field Only Mar Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
4077,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp
4078,Property Services,General Contractor Store Construction General Requirements Final Site Clean Colonial Trust Iii
4079,Advertising,Digital Paid Media SMAP Media Buy Mobile Mail Direct Messaging Media Buy Boston Inc
4080,Property Services,American Pad Paper Final Site Clean General Requirements General Contractor Store Construction
4081,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Chyron Corp Ground Transportation Miscellaneous Company Car Field Only
4082,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Apr Brother Industries Ltd Adr Travel and Entertainment Miscellaneous Company Car Field Only
4083,Passenger Road Transportation,Fortune National Corp Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4084,Advertising,Champion Parts Inc Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
4085,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Daly John Ground Transportation Miscellaneous Company Car Field Only
4086,Passenger Road Transportation,Allison Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4087,Advertising,SMAP Media Buy Traditional Controls Inc National Advertising Magazines
4088,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only Ground Transportation
4089,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp Travel and Entertainment
4090,Property Services,Base Rent Store Management Feldt Manufacturing Inc Lease Rent Real Estate
4091,Advertising,Printed Collateral SMAP Miscellaneous Printed Materials Miscellaneous Printed Materials Froley Revy Investment Inc
4092,Passenger Road Transportation,Fortune National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4093,Property Services,Store Construction General Requirements Carolan Inc General Contractor Final Site Clean
4094,Property Services,General Requirements General Contractor Crane Facility Construction Final Site Clean
4095,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fortune National Corp
4096,Property Services,Alabama Textile Products Corp Base Rent Lease Rent Real Estate Store Management
4097,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
4098,Advertising,Trade Show Expenses Events and Promotions Sprint Florida Inc SMAP Talent Artists Models for Trade Show
4099,Passenger Road Transportation,Corning Inc Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
4100,Property Services,Real Estate Store Management Lease Rent Base Rent Farm Fish Inc
4101,Property Services,General Requirements General Contractor Mar Flightsafety International Inc Facility Construction Final Site Clean
4102,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Metric Capital Corp Miscellaneous Company Car Field Only Ground Transportation
4103,Logistics,Freight Forwarders Services Other Supply Chain Alabama Power Logistics Transportation Services
4104,Human Resources,Perry Life and Health and Accident Insurance Benefits Human Resources Corporate Services
4105,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akorn Inc Ground Transportation Miscellaneous Company Car Field Only
4106,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only May Daly John
4107,Property Services,General Contractor General Requirements Final Site Clean Eagle Growth Shares Investing Programs Oct Store Construction
4108,Property Services,Bancwest Corp Base Rent Lease Rent Store Management Real Estate
4109,Property Services,Store Construction Final Site Clean General Contractor General Requirements Ealing Corp
4110,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Texas New Mexico Power Miscellaneous Company Car Field Only Ground Transportation
4111,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fortune National Corp
4112,Advertising,Prototype and Comp Production Packaging Design SMAP Froley Revy Investment Inc Aug Artworking Typesetting Production
4113,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
4114,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
4115,Property Services,Real Estate Lease Rent Base Rent Data Dimensions Inc Store Management
4116,Passenger Road Transportation,Fortune Natural Resources Corp Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4117,Passenger Road Transportation,Feb Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4118,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Federal Paper Board Inc
4119,Property Services,General Contractor Store Construction General Requirements Final Site Clean Allegheny Western Railway
4120,Advertising,SMAP Magazines National Advertising Media Buy Traditional Addmaster Corp
4121,Property Services,Caci International Inc Base Rent Lease Rent Real Estate Store Management
4122,Labour,Clarkson Industries Inc Corporate Services Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor
4123,Labour,Corporate Services Contingent Labor Temp Labor Energy Corp America Human Resources Contingent Labor Temp Labor Mar
4124,Property Services,Base Rent Store Management American Airlines Group Inc Real Estate Lease Rent
4125,Advertising,Events and Promotions Trade Show Expenses Talent Artists Models for Trade Show Circa Pharmaceuticals Inc SMAP
4126,Advertising,SMAP Artworking Typesetting Electro Catheter Corp Production Prototype and Comp Production Packaging Design
4127,Labour,Ashland Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
4128,Labour,Contingent Labor Temp Labor Human Resources Florida Public Service Corporate Services Contingent Labor Temp Labor
4129,Property Services,Store Management Lease Rent Crutcher Resources Corp Real Estate Base Rent
4130,Property Services,Real Estate Store Management Lease Rent Base Rent First Charter Corp
4131,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Metric Capital Corp Travel and Entertainment
4132,Passenger Road Transportation,Akorn Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4133,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Corning Inc Corporate Services Auto Leasing
4134,Property Services,General Requirements General Contractor Capital Southwest Corp Store Construction Final Site Clean
4135,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
4136,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Butler Manufacturing Miscellaneous Company Car Field Only Ground Transportation
4137,Advertising,SMAP Digital Display Production Digital Social Barry Corp
4138,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akzo Nobel Miscellaneous Company Car Field Only Ground Transportation
4139,Property Services,Store Management Lease Rent Data Documents Inc Real Estate Base Rent
4140,Charity & Trusts,Charity Organizations Non Procurable Charity Organizations Charity Organizations Datascope Corp
4141,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Camelot Corp Miscellaneous Company Car Field Only Ground Transportation
4142,Advertising,SMAP Artworking Typesetting Entwistle Production Prototype and Comp Production Packaging Design
4143,Labour,Babson Bond Trust Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
4144,Property Services,Store Construction Final Site Clean General Contractor General Requirements Mar Deposit Guaranty Corp
4145,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Metric Capital Corp Ground Transportation Miscellaneous Company Car Field Only
4146,Property Services,Base Rent Nov Store Management National Corp Real Estate Lease Rent
4147,Advertising,Brokerage Inc Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
4148,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Amcord Inc Ground Transportation Miscellaneous Company Car Field Only
4149,Labour,Contingent Labor Temp Labor Corporate Services Ashland Inc Human Resources Contingent Labor Temp Labor
4150,Property Services,Facility Management Base Rent Real Estate Lease Rent British Columbia Province
4151,Property Services,Real Estate Lease Rent Base Rent Forest City Enterprises Inc Store Management
4152,Property Services,General Contractor General Requirements Final Site Clean American Pad Paper Store Construction
4153,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only Jun
4154,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akzo Nobel Miscellaneous Company Car Field Only Ground Transportation
4155,Property Services,Final Site Clean Facility Construction Baker Incorporated General Requirements General Contractor
4156,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
4157,Passenger Road Transportation,Miscellaneous Company Car Field Only Sep Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
4158,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Akorn Inc Miscellaneous Company Car Field Only Ground Transportation
4159,Labour,Contingent Labor Temp Labor Corporate Services Ashland Inc Contingent Labor Temp Labor Human Resources
4160,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Apr Legg Mason Wood Walker Inc
4161,Advertising,Media Buy Traditional National Advertising Oct Crowley Milner SMAP Magazines
4162,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
4163,Passenger Road Transportation,Sep Fortune National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4164,Property Services,Store Management Lease Rent Bartlett Adv Real Estate Base Rent
4165,Advertising,SMAP Magazines National Advertising Media Buy Traditional Fcm Investment Services Inc
4166,Property Services,Base Rent Store Management Commonwealth Edison Lease Rent Real Estate
4167,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Champion Parts Inc
4168,Property Services,Frigikar Corp Base Rent Lease Rent Real Estate Store Management
4169,Advertising,Media Buy Traditional National Advertising Eac Industries Inc SMAP Magazines
4170,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc Corporate Services
4171,Passenger Road Transportation,Miscellaneous Company Car Field Only Jul Travel and Entertainment Daly John Ground Transportation Miscellaneous Company Car Field Only
4172,Passenger Road Transportation,Akzo Nobel Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
4173,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Butler Manufacturing Travel and Entertainment
4174,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Chyron Corp Travel and Entertainment Miscellaneous Company Car Field Only
4175,Advertising,Media Buy Mobile Mail Direct Digital Paid Media Apr Aristar Inc SMAP Messaging Media Buy
4176,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Air Products Chemicals Inc
4177,Advertising,National Advertising Media Buy Traditional Magazines Foothill Group Inc SMAP
4178,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
4179,Property Services,Store Construction Final Site Clean General Contractor General Requirements Deposit Guaranty Corp
4180,Logistics,Parcel Postage Courier Supply Chain Etz Lavud Ltd Logistics Transportation Services
4181,Labour,Contingent Labor Temp Labor Human Resources Ashland Inc Corporate Services Contingent Labor Temp Labor
4182,Property Services,Base Rent Store Management Amcast Industrial Corp Lease Rent Real Estate
4183,Property Services,First National Nebraska Inc Jun Store Management Real Estate Lease Rent Base Rent
4184,Labour,Corporate Services Contingent Labor Temp Labor Human Resources Contingent Labor Temp Labor Consolidated Natural Gas Service
4185,Labour,Contingent Labor Temp Labor Corporate Services Ashland Inc Contingent Labor Temp Labor Human Resources
4186,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Jul Corning Inc
4187,Labour,Exotico Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
4188,Property Services,American Pad Paper Final Site Clean Mar General Requirements General Contractor Store Construction
4189,Passenger Road Transportation,Butler Manufacturing Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
4190,Human Resources,Workmen Insurance Corporate Services Three Departments Inc Commercial Insurance Workmen Insurance
4191,Property Services,Store Construction General Requirements Erly Industries Inc General Contractor Final Site Clean Sep
4192,Property Services,Base Rent Store Management Data Documents Inc Lease Rent Real Estate
4193,Labour,Corporate Services Contingent Labor Temp Labor Human Resources Contingent Labor Temp Labor Cobe Laboratories Inc
4194,Charity & Trusts,Non Procurable Charity Organizations Flexsteel Industries Inc Charity Organizations Charity Organizations
4195,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fortune National Corp
4196,Property Services,Base Rent Store Management Cascade Corp Real Estate Lease Rent
4197,Property Services,Lease Rent Real Estate Electro Rent Corp Store Management Base Rent
4198,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust
4199,Logistics,Logistics Transportation Services Freight Forwarders Services Other Alexander Baldwin Inc Supply Chain
4200,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Metric Capital Corp
4201,Advertising,Froley Revy Investment Inc Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
4202,Advertising,Post Card Mailer SMAP Boston Inc Direct Mail Printed Collateral
4203,Property Services,Ealing Corp Final Site Clean General Requirements Store Construction General Contractor
4204,Property Services,Store Construction General Requirements Exeter Hampton Electric General Contractor Final Site Clean
4205,Property Services,Base Rent Store Management Credit Suisse First Boston Inc Lease Rent Real Estate
4206,Property Services,Store Construction Final Site Clean General Contractor General Requirements Colonial Trust Iii
4207,Passenger Road Transportation,Chyron Corp Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
4208,Property Services,Real Estate Real Estate Services Real Estate General Search Appraisal Realtor Commission Tri Valley Corp Store Management
4209,Property Services,Real Estate General Search Appraisal Realtor Commission Store Management Tri Valley Corp Real Estate Real Estate Services
4210,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Oct Butler Manufacturing
4211,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Berkline Corp Other Corporate Services Auto Leasing and Maintenance
4212,Advertising,Magazines SMAP Casio Computer Ltd Adr National Advertising Media Buy Traditional
4213,Property Services,Exeter Hampton Electric Final Site Clean General Requirements General Contractor Store Construction
4214,Passenger Road Transportation,Aug Fortune National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4215,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Oct Continental Insurance Travel and Entertainment Miscellaneous Company Car Field Only
4216,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Mar Brother Industries Ltd Adr
4217,Passenger Road Transportation,Mar Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4218,Passenger Road Transportation,Fortune Natural Resources Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4219,Passenger Road Transportation,May Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4220,Advertising,Prototype and Comp Production Packaging Design SMAP Aquila Distributors Inc Artworking Typesetting Production
4221,Passenger Road Transportation,Akorn Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4222,Property Services,General Contractor General Requirements Final Site Clean Ealing Corp Store Construction
4223,Property Services,Store Management Base Rent Real Estate Lease Rent Fiat Adr
4224,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John
4225,Property Services,Final Site Clean Store Construction Alexanders Inc General Contractor General Requirements
4226,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Aug Butler Manufacturing
4227,Agency Fee,Public Relations Agency SMAP Fagenson Inc Agency Fees Commissions Events and Promotions
4228,Property Services,Store Construction Final Site Clean General Contractor General Requirements Dollar General Corp
4229,Property Services,Real Estate Lease Rent Base Rent Fidelity Management Research Mar Store Management
4230,Passenger Road Transportation,Miscellaneous Company Car Field Only Jan Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
4231,Property Services,Franklin Resources Inc Final Site Clean General Requirements Store Construction General Contractor
4232,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Alco Standard Corp Travel and Entertainment
4233,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Air Products Chemicals Inc Miscellaneous Company Car Field Only Ground Transportation
4234,Advertising,Prototype and Comp Production Packaging Design SMAP Champion Parts Inc Production Artworking Typesetting
4235,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Akzo Nobel Travel and Entertainment Miscellaneous Company Car Field Only
4236,Advertising,Paid Social Content Production with Influencer SMAP Diebold Inc Media Buy Social Digital Paid Media
4237,Property Services,Base Rent Store Management Fidelity Management Research Lease Rent Real Estate
4238,Passenger Road Transportation,Miscellaneous Company Car Field Only Aug Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
