,Category,Item_Description,Item_Description_PREPROCESSED
4618,Logistics,Supply Chain Transportation Services Alabama Power Co Logistics Freight Forwarders Services Other 2014-Oct ,supply chain transportation services alabama power logistics freight forwarders services other
4619,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2004-Nov  Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
4620,Advertising,SMAP Artworking/Typesetting Electro Catheter Corp Production Prototype and Comp Production/Packaging Design 2011-Apr ,smap artworking typesetting electro catheter corp production prototype and comp production packaging design
4621,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ Oct 2018 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment brother industries ltd adr oct miscellaneous company car field only ground transportation
4622,Passenger Road Transportation,2010Mar Airtex Products Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,airtex products inc miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
4623,Human Resources,Cencor Inc Workmen's Insurance 2008Feb Workmen's Insurance Commercial Insurance Corporate Services,cencor inc workmen insurance workmen insurance commercial insurance corporate services
4624,Human Resources,Commercial Insurance Workmen's Insurance Workmen's Insurance U Haul International Inc 2009-Nov  Corporate Services,commercial insurance workmen insurance workmen insurance haul international inc corporate services
4625,Property Services,Base Rent Oct-2001 Store Management Florida First Equities Corp Real Estate Lease/Rent,base rent store management florida first equities corp real estate lease rent
4626,Property Services,"Base Rent Apr 2018 Store Management Abrams, Allan Edward Real Estate Lease/Rent",base rent apr store management abrams allan edward real estate lease rent
4627,Property Services,Florida Power & Light Co Oct2001 Store Construction General Contractor General Requirements Final Site Clean Up,florida power light store construction general contractor general requirements final site clean
4628,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Aug-2013 Ashland Inc,corporate services contingent labor temp labor human resources contingent labor temp labor ashland inc
4629,Property Services,"Store Construction General Requirements A. G. Edwards & Sons, Inc. General Contractor Final Site Clean Up 2011May",store construction general requirements edwards sons inc general contractor final site clean
4630,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2005-Jul  Akorn Inc,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only akorn inc
4631,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation 2007Dec Camelot Corp Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation camelot corp travel and entertainment miscellaneous company car field only
4632,Passenger Road Transportation,Daly John J Miscellaneous Company Car (Field Only) Jul2006 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,daly john miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
4633,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Nov 2011 Texas New Mexico Power Co,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only nov texas new mexico power
4634,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Allis Chalmers Corp Aug2003 Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only allis chalmers corp travel and entertainment
4635,Property Services,Ameristeel Corp Base Rent 2009Nov Lease/Rent Real Estate Store Management,ameristeel corp base rent lease rent real estate store management
4636,Advertising,Post Card/Mailer 2017Aug SMAP Beverly Bancorporation Inc Printed Collateral Direct Mail,post card mailer smap beverly bancorporation inc printed collateral direct mail
4637,Passenger Road Transportation,2000May Continental Insurance Co Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,continental insurance miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
4638,Passenger Road Transportation,Miscellaneous Company Car (Field Only) 2019Feb Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust ground transportation miscellaneous company car field only
4639,Passenger Road Transportation,Corning Inc /Ny Aug2008 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,corning inc corporate services other corporate services auto leasing and maintenance auto leasing
4640,Property Services,2019-Apr  Cabot Corp Base Rent Lease/Rent Store Management Real Estate,cabot corp base rent lease rent store management real estate
4641,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Co Jan-2008 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
4642,Property Services,Store Construction General Requirements Erly Industries Inc General Contractor Final Site Clean Up Aug-2010,store construction general requirements erly industries inc general contractor final site clean
4643,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny Aug 2015 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc aug auto leasing and maintenance other corporate services
4644,Property Services,Real Estate Lease/Rent Base Rent Arlen Corp 2004Nov Store Management,real estate lease rent base rent arlen corp store management
4645,Passenger Road Transportation,Daly John J Jun 2011 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),daly john jun travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
4646,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Oct-2014 Amdahl Corp,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance amdahl corp
4647,Advertising,Champion Parts Inc Dec 2015 SMAP Production Artworking/Typesetting Prototype and Comp Production/Packaging Design,champion parts inc dec smap production artworking typesetting prototype and comp production packaging design
4648,Passenger Road Transportation,Aug2002 Detrex Corporation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,detrex corporation miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
4649,Logistics,May2019 Canal Corp Freight Forwarders Services Other Transportation Services Supply Chain Logistics,canal corp freight forwarders services other transportation services supply chain logistics
4650,Passenger Road Transportation,Miscellaneous Company Car (Field Only) May2010 Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment fortune national corp ground transportation miscellaneous company car field only
4651,Advertising,Prototype and Comp Production/Packaging Design 2014-Apr  SMAP Electro Catheter Corp Production Artworking/Typesetting,prototype and comp production packaging design smap electro catheter corp production artworking typesetting
4652,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2019Jul American Pad & Paper Co,general contractor store construction general requirements final site clean american pad paper
4653,Advertising,Prototype and Comp Production/Packaging Design Dec-2001 SMAP Electro Catheter Corp Production Artworking/Typesetting,prototype and comp production packaging design smap electro catheter corp production artworking typesetting
4654,Advertising,"Talent, Artists & Models for Trade Show SMAP Fox, Reusch & Co., Inc. Jun2007 Trade Show Expenses Events and Promotions",talent artists models for trade show smap fox reusch inc trade show expenses events and promotions
4655,Property Services,Store Management Lease/Rent Bond Portfolio For Endowments Inc Real Estate Base Rent Jan-2012,store management lease rent bond portfolio for endowments inc real estate base rent
4656,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Jul 2003 Corporate Services Amdahl Corp Other Corporate Services Auto Leasing and Maintenance,auto passenger road transportation repair and maintenance jul corporate services amdahl corp other corporate services auto leasing and maintenance
4657,Property Services,2005Nov Archer Daniels Midland Co Final Site Clean Up General Requirements Store Construction General Contractor,archer daniels midland final site clean general requirements store construction general contractor
4658,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Texas New Mexico Power Co 2015Apr Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only texas new mexico power travel and entertainment
4659,Passenger Road Transportation,Fort Howard Corp 2019-Jun  Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),fort howard corp travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
4660,Property Services,Dec 2016 American Insurance Union Building First Bondholders Committe Base Rent Lease/Rent Store Management Real Estate,dec american insurance union building first bondholders committe base rent lease rent store management real estate
4661,Property Services,Base Rent Aug-2000 Store Management First West Virginia Bancorp Inc Real Estate Lease/Rent,base rent store management first west virginia bancorp inc real estate lease rent
4662,Advertising,"Newspaper Aug2015 SMAP Ccom Group, Inc. National Advertising Media Buy - Traditional",newspaper smap ccom group inc national advertising media buy traditional
4663,Labour,2005May Archon Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,archon inc contingent labor temp labor contingent labor temp labor corporate services human resources
4664,Property Services,Real Estate Store Management Lease/Rent Base Rent Jun 2007 Daly Donald Stanton                                     /Bd,real estate store management lease rent base rent jun daly donald stanton
4665,Logistics,Supply Chain Transportation Services Alabama Power Co Logistics Freight Forwarders Services Other Apr-2016,supply chain transportation services alabama power logistics freight forwarders services other
4666,Property Services,2013Oct Florida Public Utilities Co Base Rent Lease/Rent Store Management Real Estate,florida public utilities base rent lease rent store management real estate
4667,Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car (Field Only) 2015-Jun  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,cooper laboratories inc stockholders liquidating trust miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
4668,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Chyron Corp 2001-Dec  Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment chyron corp miscellaneous company car field only ground transportation
4669,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ 2010May Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment brother industries ltd adr miscellaneous company car field only ground transportation
4670,Advertising,National Advertising SMAP Media Buy - Traditional Magazines 2004Jun Digital Equipment Corp,national advertising smap media buy traditional magazines digital equipment corp
4671,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2001Nov Fortune National Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only fortune national corp
4672,Labour,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor Aug 2004 Flanigans Enterprises Inc,human resources corporate services contingent labor temp labor contingent labor temp labor aug flanigans enterprises inc
4673,Property Services,Store Management Lease/Rent Dresser Industries Inc /De/ Real Estate Base Rent Jun2017,store management lease rent dresser industries inc real estate base rent
4674,Labour,Banta Corp Contingent Labor/Temp Labor Nov2007 Contingent Labor/Temp Labor Human Resources Corporate Services,banta corp contingent labor temp labor contingent labor temp labor human resources corporate services
4675,Property Services,Real Estate Lease/Rent Base Rent First Union Corp Aug-2016 Store Management,real estate lease rent base rent first union corp store management
4676,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Nov2011 Travel and Entertainment Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment akzo nobel ground transportation miscellaneous company car field only
4677,Property Services,Final Site Clean Up Store Construction Dollar General Corp 2006-Feb  General Requirements General Contractor,final site clean store construction dollar general corp general requirements general contractor
4678,Property Services,Real Estate Store Management Lease/Rent Base Rent 2006-Jul  American Cytogenetics Inc,real estate store management lease rent base rent american cytogenetics inc
4679,Advertising,National Advertising SMAP Media Buy - Traditional Television Sep-2009 Consolidated Tomoka Land Co,national advertising smap media buy traditional television consolidated tomoka land
4680,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2010Mar Bush J & Co Inc /Ct/,corporate services contingent labor temp labor human resources contingent labor temp labor bush inc
4681,Passenger Road Transportation,Butler Manufacturing Co 2019Jan Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,butler manufacturing corporate services other corporate services auto leasing and maintenance auto leasing
4682,Advertising,National Advertising Media Buy - Traditional Outdoor/Out of Home Cgg Holding (U.S.) Inc. 2009May SMAP,national advertising media buy traditional outdoor out home cgg holding inc smap
4683,Property Services,Corporate Services Building and Property Insurance Corning Natural Gas Corp Commercial Insurance Building and Property Insurance 2017-Feb ,corporate services building and property insurance corning natural gas corp commercial insurance building and property insurance
4684,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Chyron Corp Ground Transportation Miscellaneous Company Car (Field Only) Mar-2002,travel and entertainment miscellaneous company car field only chyron corp ground transportation miscellaneous company car field only
4685,Property Services,2017-Feb  Bailard Biehl & Kaiser Inc                              /Adv Store Fixtures Store Fixtures Store Construction Fixtures,bailard biehl kaiser inc adv store fixtures store fixtures store construction fixtures
4686,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Daly John J Aug 2002 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment daly john aug miscellaneous company car field only ground transportation
4687,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation Mar-2008 Fortune National Corp Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation fortune national corp travel and entertainment miscellaneous company car field only
4688,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2017-Oct  Butler Manufacturing Co,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only butler manufacturing
4689,Advertising,Digital Display SMAP Beverly Hills Bancorp May 2006 Digital/Social Production,digital display smap beverly hills bancorp may digital social production
4690,Property Services,Real Estate Lease/Rent Base Rent Bio Rad Laboratories Inc 2018Apr Store Management,real estate lease rent base rent bio rad laboratories inc store management
4691,Human Resources,Workmen's Insurance Corporate Services Furon Co 2009-Feb  Workmen's Insurance Commercial Insurance,workmen insurance corporate services furon workmen insurance commercial insurance
4692,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Co 2010-Apr  Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
4693,Property Services,"Base Rent Jan-2009 Facility Management Cabrera Capital Markets, Inc. Real Estate Lease/Rent",base rent facility management cabrera capital markets inc real estate lease rent
4694,Logistics,Supply Chain Transportation Services Etz Lavud Ltd Logistics Parcel/Postage/Courier Dec2018,supply chain transportation services etz lavud ltd logistics parcel postage courier
4695,Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance 2014-Nov  Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
4696,Property Services,Final Site Clean Up Aug 2000 Store Construction American Pad & Paper Co General Contractor General Requirements,final site clean aug store construction american pad paper general contractor general requirements
4697,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2016-Jun  All-Comm Media Corp,corporate services contingent labor temp labor human resources contingent labor temp labor all comm media corp
4698,Passenger Road Transportation,Brother Industries Ltd/Adr/ Oct-2008 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),brother industries ltd adr travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
4699,Advertising,"Dawson John & Associates Inc  /Il/ Talent, Artists & Models for Trade Show 2016Jan Trade Show Expenses Events and Promotions SMAP",dawson john associates inc talent artists models for trade show trade show expenses events and promotions smap
4700,Logistics,Logistics Transportation Services Freight Forwarders Services Other Digital Products Corp 2019-Oct  Supply Chain,logistics transportation services freight forwarders services other digital products corp supply chain
4701,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Jan 2016 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust jan miscellaneous company car field only ground transportation
4702,Passenger Road Transportation,Auto Leasing 2010Oct Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services butler manufacturing other corporate services auto leasing and maintenance
4703,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2013Apr Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
4704,Property Services,Bancwest Corp/Hi Base Rent 2017-Jan  Lease/Rent Real Estate Store Management,bancwest corp base rent lease rent real estate store management
4705,Property Services,Base Rent Store Management First National Of Nebraska Inc Jun2017 Lease/Rent Real Estate,base rent store management first national nebraska inc lease rent real estate
4706,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Feb-2012 Travel and Entertainment Fox Pitt Kelton Inc                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment fox pitt kelton inc ground transportation miscellaneous company car field only
4707,Property Services,Final Site Clean Up Store Construction Chesapeake Shores Beach & Country Club I Apr2011 General Requirements General Contractor,final site clean store construction chesapeake shores beach country club general requirements general contractor
4708,Advertising,"Fiduciary Management Associates Talent, Artists & Models for Trade Show 2005Jun Trade Show Expenses Events and Promotions SMAP",fiduciary management associates talent artists models for trade show trade show expenses events and promotions smap
4709,Passenger Road Transportation,2002-Apr  Devcon International Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,devcon international corp miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
4710,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Nov 2004 Comp U Check Inc,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only nov comp check inc
4711,Agency Fee,Other Agency SMAP Belding Heminway Co Inc /De/ Jan-2018 Agency Fees & Commissions 3 Production,other agency smap belding heminway inc agency fees commissions production
4712,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Akzo Nobel Nv Jan2015 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment akzo nobel miscellaneous company car field only ground transportation
4713,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only) 2019Apr,travel and entertainment miscellaneous company car field only cooper laboratories inc stockholders liquidating trust ground transportation miscellaneous company car field only
4714,Property Services,General Contractor General Requirements Final Site Clean Up Erly Industries Inc Mar 2014 Store Construction,general contractor general requirements final site clean erly industries inc mar store construction
4715,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Dec2001 Travel and Entertainment Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment fort howard corp ground transportation miscellaneous company car field only
4716,Advertising,Prototype and Comp Production/Packaging Design 2013Jan SMAP Entwistle Co Production Artworking/Typesetting,prototype and comp production packaging design smap entwistle production artworking typesetting
4717,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing Nov-2015,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
4718,Property Services,General Contractor General Requirements Final Site Clean Up Allcity Insurance Co /Ny/ 2016Jul Facility Construction,general contractor general requirements final site clean allcity insurance facility construction
4719,Advertising,Artworking/Typesetting Production 2018-Jul  Aquila Distributors Inc                                 /Bd SMAP Prototype and Comp Production/Packaging Design,artworking typesetting production aquila distributors inc smap prototype and comp production packaging design
4720,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jun2019 Air Products & Chemicals Inc /De/,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only air products chemicals inc
4721,Advertising,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Florida Public Utilities Co 2013-Aug  SMAP,production artworking typesetting prototype and comp production packaging design florida public utilities smap
4722,Passenger Road Transportation,Fortune National Corp Mar2009 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),fortune national corp travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
4723,Logistics,Parcel/Postage/Courier Supply Chain Etz Lavud Ltd Jun-2007 Transportation Services Logistics,parcel postage courier supply chain etz lavud ltd transportation services logistics
4724,Human Resources,Corporate Services Benefits Essex Group Inc Human Resources Retirement and Pension Funds May2014,corporate services benefits essex group inc human resources retirement and pension funds
4725,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2008Feb Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
4726,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Aug 2007 Chyron Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only aug chyron corp
4727,Agency Fee,Events and Promotions Agency Fees & Commissions Public Relations Agency Nuveen Tax Exempt Unit Trust Series 169 National Trust 169 Mar 2008 SMAP,events and promotions agency fees commissions public relations agency nuveen tax exempt unit trust series national trust mar smap
4728,Property Services,Store Management Lease/Rent Bancwest Corp/Hi Real Estate Base Rent Sep2005,store management lease rent bancwest corp real estate base rent
4729,Property Services,Advanced Micro Devices Inc Final Site Clean Up Aug2019 General Requirements General Contractor Store Construction,advanced micro devices inc final site clean general requirements general contractor store construction
4730,Property Services,Store Management Lease/Rent Cabe W T & Co Inc                                       /Bd Real Estate Base Rent Aug2010,store management lease rent cabe inc real estate base rent
4731,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Ground Transportation 2010-Nov  Fort Howard Corp Travel and Entertainment Miscellaneous Company Car (Field Only),miscellaneous company car field only ground transportation fort howard corp travel and entertainment miscellaneous company car field only
4732,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Mar 2013 Principal Life Insurance Co Separate Account B,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only mar principal life insurance separate account
4733,Property Services,American Pad & Paper Co 2010-Oct  Store Construction General Contractor General Requirements Final Site Clean Up,american pad paper store construction general contractor general requirements final site clean
4734,Logistics,Logistics Supply Chain Transportation Services Freight Forwarders Services Other 2015-Jan  Alabama Power Co,logistics supply chain transportation services freight forwarders services other alabama power
4735,Consulting,Consulting Finance Consulting Audit & Risk Consulting Carter Day Industries Inc May 2007 Corporate Services,consulting finance consulting audit risk consulting carter day industries inc may corporate services
4736,Advertising,E-Messaging Media Buy SMAP Booz Allen & Hamilton Inc Nov 2018 Media Buy - Mobile or E-Mail Direct Digital Paid Media,messaging media buy smap booz allen hamilton inc nov media buy mobile mail direct digital paid media
4737,Property Services,Final Site Clean Up 2000Jul Store Construction Bell Atlantic Pennsylvania Inc General Contractor General Requirements,final site clean store construction bell atlantic pennsylvania inc general contractor general requirements
4738,Labour,Contingent Labor/Temp Labor Apr2017 Corporate Services Frozen Food Express Industries Inc Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services frozen food express industries inc human resources contingent labor temp labor
4739,Property Services,Base Rent Store Management Boise Cascade Corp Sep-2010 Lease/Rent Real Estate,base rent store management boise cascade corp lease rent real estate
4740,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fort Howard Corp 2017May Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only fort howard corp travel and entertainment
4741,Labour,Corporate Services Contingent Labor/Temp Labor Canal Electric Co Human Resources Contingent Labor/Temp Labor 2010-Apr ,corporate services contingent labor temp labor canal electric human resources contingent labor temp labor
4742,Property Services,Store Management Base Rent Real Estate Lease/Rent 2019Sep Alfa Leisure Inc,store management base rent real estate lease rent alfa leisure inc
4743,Passenger Road Transportation,"Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Hornblower & Weeks, Inc. Sep2017 Travel and Entertainment",ground transportation miscellaneous company car field only miscellaneous company car field only hornblower weeks inc travel and entertainment
4744,Property Services,Base Rent Jul-2013 Store Management Donaldson Co Inc Real Estate Lease/Rent,base rent store management donaldson inc real estate lease rent
4745,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2013-Feb  Allis Chalmers Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only allis chalmers corp
4746,Property Services,Base Rent Oct 2006 Facility Management Coastal Caribbean Oils & Minerals Ltd Real Estate Lease/Rent,base rent oct facility management coastal caribbean oils minerals ltd real estate lease rent
4747,Property Services,Store Construction Store Fixtures Fixtures Store Fixtures Jun-2019 Aerovox Corp,store construction store fixtures fixtures store fixtures aerovox corp
4748,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2004Sep Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
4749,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Apr-2002 Travel and Entertainment Butler National Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment butler national corp ground transportation miscellaneous company car field only
4750,Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Dec2012 Colonial Trust Iii,store construction final site clean general contractor general requirements colonial trust iii
4751,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2009-Jan  Fortune National Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only fortune national corp
4752,Passenger Road Transportation,Oct-2003 Chyron Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,chyron corp miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
4753,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing 2001-May  Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing corning inc
4754,Advertising,May-2009 Casio Computer Co Ltd/Adr/ Magazines Media Buy - Traditional SMAP National Advertising,casio computer ltd adr magazines media buy traditional smap national advertising
4755,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2013Apr Fortune Natural Resources Corp,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only fortune natural resources corp
4756,Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services Sep 2019 Alco Standard Corp Corporate Services Auto Passenger Road Transportation Repair and Maintenance,auto leasing and maintenance other corporate services sep alco standard corp corporate services auto passenger road transportation repair and maintenance
4757,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Sep-2008 Metric Capital Corp                                     /Bd,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only metric capital corp
4758,Property Services,Colonial Trust Iii Final Site Clean Up Mar-2002 General Requirements General Contractor Store Construction,colonial trust iii final site clean general requirements general contractor store construction
4759,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2015Jan Brother Industries Ltd/Adr/,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only brother industries ltd adr
4760,Passenger Road Transportation,Auto Leasing Aug-2011 Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services butler manufacturing other corporate services auto leasing and maintenance
4761,Property Services,General Contractor General Requirements Final Site Clean Up Southwestern Energy Co Sep2000 Store Construction,general contractor general requirements final site clean southwestern energy store construction
4762,Property Services,American Pad & Paper Co Dec-2008 Store Construction General Contractor General Requirements Final Site Clean Up,american pad paper store construction general contractor general requirements final site clean
4763,Logistics,Supply Chain Freight Forwarders Services Other Logistics Transportation Services 2009Oct Alabama Power Co,supply chain freight forwarders services other logistics transportation services alabama power
