Category,Item_Description,Item_Description_PREPROCESSED
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2014Jul Fortune National Corp,travel and entertainment company car field only ground transportation company car field only fortune national corp
Passenger Road Transportation,Butler Manufacturing Co Dec 2005 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),butler manufacturing dec travel and entertainment ground transportation company car field only company car field only
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Fortune National Corp 2017Sep Travel and Entertainment,ground transportation company car field only company car field only fortune national corp travel and entertainment
Property Services,"Real Estate Services Real Estate Sep-2009 American Recreation Centers Inc Store Management Real Estate General (Search, Appraisal, Realtor Commission)",real estate services real estate american recreation centers inc store management real estate general search appraisal realtor commission
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Fortune National Corp Ground Transportation Company Car (Field Only) 2004Nov,travel and entertainment company car field only fortune national corp ground transportation company car field only
Passenger Road Transportation,Brother Industries Ltd/Adr/ May2004 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),brother industries ltd adr travel and entertainment ground transportation company car field only company car field only
Passenger Road Transportation,Fortune National Corp Dec 2013 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),fortune national corp dec travel and entertainment ground transportation company car field only company car field only
Property Services,2015Apr Capital Southwest Corp Final Site Clean Up General Requirements Store Construction General Contractor,capital southwest corp final site clean general requirements store construction general contractor
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2009-Oct  Erly Industries Inc,general contractor store construction general requirements final site clean erly industries inc
IT - Managed Services,Dec2001 Atwood Oceanics Inc Qualified Stock Option Plans IT Managed Services IT Managed Services Information Technology Managed Services,atwood oceanics inc qualified stock option plans managed services managed services information technology managed services
Passenger Road Transportation,Company Car (Field Only) Mar 2019 Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Company Car (Field Only),company car field only mar travel and entertainment cooper laboratories inc stockholders liquidating trust ground transportation company car field only
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2013-Mar  Fort Howard Corp,ground transportation travel and entertainment company car field only company car field only fort howard corp
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2016-Feb  Colonial Trust Iii,general contractor store construction general requirements final site clean colonial trust iii
Advertising,Digital Paid Media SMAP Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy 2001-May  Boston Co Inc,digital paid media smap media buy mobile mail direct messaging media buy boston inc
Property Services,American Pad & Paper Co Final Site Clean Up 2003Dec General Requirements General Contractor Store Construction,american pad paper final site clean general requirements general contractor store construction
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Chyron Corp Ground Transportation Company Car (Field Only) 2001-Oct ,travel and entertainment company car field only chyron corp ground transportation company car field only
Passenger Road Transportation,Company Car (Field Only) Ground Transportation Apr 2016 Brother Industries Ltd/Adr/ Travel and Entertainment Company Car (Field Only),company car field only ground transportation apr brother industries ltd adr travel and entertainment company car field only
Passenger Road Transportation,Fortune National Corp 2009Feb Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),fortune national corp travel and entertainment ground transportation company car field only company car field only
Advertising,Champion Parts Inc Prototype and Comp Production/Packaging Design 2006-Feb  Artworking/Typesetting Production SMAP,champion parts inc prototype and comp production packaging design artworking typesetting production smap
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Daly John J Ground Transportation Company Car (Field Only) 2017Jun,travel and entertainment company car field only daly john ground transportation company car field only
Passenger Road Transportation,Jul2002 Allison M E & Co Inc/Tx                                 /Bd Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,allison inc company car field only company car field only travel and entertainment ground transportation
Advertising,SMAP Media Buy - Traditional Di An Controls Inc National Advertising Magazines Oct2008,smap media buy traditional controls inc national advertising magazines
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2002Jun Company Car (Field Only) Ground Transportation,company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust company car field only ground transportation
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Fortune National Corp Mar-2019 Travel and Entertainment,ground transportation company car field only company car field only fortune national corp travel and entertainment
Property Services,Base Rent Store Management Feldt Manufacturing Co Inc Oct2013 Lease/Rent Real Estate,base rent store management feldt manufacturing inc lease rent real estate
Advertising,Printed Collateral SMAP Printed Materials Printed Materials 2012Oct Froley Revy Investment Co Inc,printed collateral smap printed materials printed materials froley revy investment inc
Passenger Road Transportation,2018-Oct  Fortune National Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,fortune national corp company car field only company car field only travel and entertainment ground transportation
Property Services,Store Construction General Requirements Carolan & Co Inc                                        /Bd General Contractor Final Site Clean Up Nov-2010,store construction general requirements carolan inc general contractor final site clean
Property Services,General Requirements General Contractor 2001Feb Crane Co /De/ Facility Construction Final Site Clean Up,general requirements general contractor crane facility construction final site clean
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Jun-2016 Fortune National Corp,travel and entertainment company car field only ground transportation company car field only fortune national corp
Property Services,Alabama Textile Products Corp Base Rent Feb2001 Lease/Rent Real Estate Store Management,alabama textile products corp base rent lease rent real estate store management
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Company Car (Field Only) Apr2013,travel and entertainment company car field only brother industries ltd adr ground transportation company car field only
Advertising,"Trade Show Expenses Events and Promotions Jul2017 Sprint Florida Inc SMAP Talent, Artists & Models for Trade Show",trade show expenses events and promotions sprint florida inc smap talent artists models for trade show
Passenger Road Transportation,Corning Inc /Ny Nov2015 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,corning inc corporate services other corporate services auto leasing and maintenance auto leasing
Property Services,Real Estate Store Management Lease/Rent Base Rent 2002Jan Farm Fish Inc,real estate store management lease rent base rent farm fish inc
Property Services,General Requirements General Contractor Mar 2017 Flightsafety International Inc Facility Construction Final Site Clean Up,general requirements general contractor mar flightsafety international inc facility construction final site clean
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Metric Capital Corp                                     /Bd Oct-2018 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment metric capital corp company car field only ground transportation
Logistics,Freight Forwarders Services Other 2009Sep Supply Chain Alabama Power Co Logistics Transportation Services,freight forwarders services other supply chain alabama power logistics transportation services
Human Resources,Perry & Co Life and Health and Accident Insurance 2013Apr Benefits Human Resources Corporate Services,perry life and health and accident insurance benefits human resources corporate services
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Akorn Inc Ground Transportation Company Car (Field Only) May2016,travel and entertainment company car field only akorn inc ground transportation company car field only
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) May 2003 Daly John J,ground transportation travel and entertainment company car field only company car field only may daly john
Property Services,General Contractor General Requirements Final Site Clean Up Eagle Growth Shares Investing Programs Oct 2010 Store Construction,general contractor general requirements final site clean eagle growth shares investing programs oct store construction
Property Services,Mar-2016 Bancwest Corp/Hi Base Rent Lease/Rent Store Management Real Estate,bancwest corp base rent lease rent store management real estate
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Mar2005 Ealing Corp,store construction final site clean general contractor general requirements ealing corp
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Texas New Mexico Power Co 2012Aug Company Car (Field Only) Ground Transportation,company car field only travel and entertainment texas new mexico power company car field only ground transportation
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2008Nov Fortune National Corp,travel and entertainment company car field only ground transportation company car field only fortune national corp
Advertising,Prototype and Comp Production/Packaging Design SMAP Froley Revy Investment Co Inc Aug 2002 Artworking/Typesetting Production,prototype and comp production packaging design smap froley revy investment inc aug artworking typesetting production
Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2010-Feb  Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,Daly John J Auto Passenger Road Transportation Repair and Maintenance Jun2014 Auto Leasing and Maintenance Other Corporate Services Corporate Services,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
Property Services,Real Estate Lease/Rent Base Rent Data Dimensions Inc May-2016 Store Management,real estate lease rent base rent data dimensions inc store management
Passenger Road Transportation,Fortune Natural Resources Corp 2006Dec Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),fortune natural resources corp travel and entertainment ground transportation company car field only company car field only
Passenger Road Transportation,Feb 2002 Fort Howard Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,feb fort howard corp company car field only company car field only travel and entertainment ground transportation
Advertising,Printed Collateral SMAP Direct Mail Post Card/Mailer Oct2000 Federal Paper Board Co Inc,printed collateral smap direct mail post card mailer federal paper board inc
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2010-Jan  Allegheny & Western Railway Co,general contractor store construction general requirements final site clean allegheny western railway
Advertising,SMAP Magazines National Advertising Media Buy - Traditional 2010-Dec  Addmaster Corp,smap magazines national advertising media buy traditional addmaster corp
Property Services,Caci International Inc /De/ Base Rent Feb-2000 Lease/Rent Real Estate Store Management,caci international inc base rent lease rent real estate store management
Labour,Clarkson Industries Inc Mar-2005 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,clarkson industries inc corporate services human resources contingent labor temp labor contingent labor temp labor
Labour,Corporate Services Contingent Labor/Temp Labor Energy Corp Of America Human Resources Contingent Labor/Temp Labor Mar 2011,corporate services contingent labor temp labor energy corp america human resources contingent labor temp labor mar
Property Services,Base Rent 2016May Store Management American Airlines Group Inc. Real Estate Lease/Rent,base rent store management american airlines group inc real estate lease rent
Advertising,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Circa Pharmaceuticals Inc 2019May SMAP",events and promotions trade show expenses talent artists models for trade show circa pharmaceuticals inc smap
Advertising,SMAP Artworking/Typesetting Electro Catheter Corp Production Prototype and Comp Production/Packaging Design Mar2014,smap artworking typesetting electro catheter corp production prototype and comp production packaging design
Labour,2019Oct Ashland Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,ashland inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,Contingent Labor/Temp Labor Human Resources 2007Feb Florida Public Service Co Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources florida public service corporate services contingent labor temp labor
Property Services,Store Management Lease/Rent Crutcher Resources Corp Real Estate Base Rent Nov-2012,store management lease rent crutcher resources corp real estate base rent
Property Services,Real Estate Store Management Lease/Rent Base Rent 2012-Jan  First Charter Corp,real estate store management lease rent base rent first charter corp
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Metric Capital Corp                                     /Bd Nov2006 Travel and Entertainment,ground transportation company car field only company car field only metric capital corp travel and entertainment
Passenger Road Transportation,2007Jan Akorn Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,akorn inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Auto Leasing and Maintenance Other Corporate Services 2000-Jul  Corning Inc /Ny Corporate Services Auto Leasing,auto leasing and maintenance other corporate services corning inc corporate services auto leasing
Property Services,General Requirements General Contractor 2011Aug Capital Southwest Corp Store Construction Final Site Clean Up,general requirements general contractor capital southwest corp store construction final site clean
Passenger Road Transportation,Metric Capital Corp                                     /Bd Company Car (Field Only) Aug-2010 Company Car (Field Only) Ground Transportation Travel and Entertainment,metric capital corp company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Butler Manufacturing Co 2012-May  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment butler manufacturing company car field only ground transportation
Advertising,SMAP Digital Display Production Digital/Social Jan2000 Barry R G Corp /De/,smap digital display production digital social barry corp
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Akzo Nobel Nv 2018Jan Company Car (Field Only) Ground Transportation,company car field only travel and entertainment akzo nobel company car field only ground transportation
Property Services,Store Management Lease/Rent Data Documents Inc/De/ Real Estate Base Rent 2006-Jun ,store management lease rent data documents inc real estate base rent
Charity & Trusts,Charity Organizations Non-Procurable Charity Organizations Charity Organizations Aug2003 Datascope Corp,charity organizations non procurable charity organizations charity organizations datascope corp
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Camelot Corp Aug-2011 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment camelot corp company car field only ground transportation
Advertising,SMAP Artworking/Typesetting Entwistle Co Production Prototype and Comp Production/Packaging Design Mar-2004,smap artworking typesetting entwistle production prototype and comp production packaging design
Labour,Oct2011 Babson D L Bond Trust Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,babson bond trust contingent labor temp labor contingent labor temp labor corporate services human resources
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Mar 2013 Deposit Guaranty Corp,store construction final site clean general contractor general requirements mar deposit guaranty corp
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Metric Capital Corp                                     /Bd Ground Transportation Company Car (Field Only) Jul2012,travel and entertainment company car field only metric capital corp ground transportation company car field only
Property Services,Base Rent Nov 2007 Store Management F&M National Corp Real Estate Lease/Rent,base rent nov store management national corp real estate lease rent
Advertising,"Mar-2016 Cv Brokerage, Inc Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production",brokerage inc prototype and comp production packaging design artworking typesetting smap production
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Amcord Inc Ground Transportation Company Car (Field Only) Dec-2017,travel and entertainment company car field only amcord inc ground transportation company car field only
Labour,Contingent Labor/Temp Labor 2007-Dec  Corporate Services Ashland Inc Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services ashland inc human resources contingent labor temp labor
Property Services,Facility Management Base Rent Real Estate Lease/Rent 2007Jun British Columbia Province Of,facility management base rent real estate lease rent british columbia province
Property Services,Real Estate Lease/Rent Base Rent Forest City Enterprises Inc 2019-Jul  Store Management,real estate lease rent base rent forest city enterprises inc store management
Property Services,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co 2002Jul Store Construction,general contractor general requirements final site clean american pad paper store construction
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Company Car (Field Only) Jun 2007,travel and entertainment company car field only brother industries ltd adr ground transportation company car field only jun
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Akzo Nobel Nv Mar-2017 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment akzo nobel company car field only ground transportation
Property Services,"Final Site Clean Up Facility Construction D. L. Baker & Co., Incorporated Jul2001 General Requirements General Contractor",final site clean facility construction baker incorporated general requirements general contractor
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing Dec-2018,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
Passenger Road Transportation,Company Car (Field Only) Sep 2013 Travel and Entertainment Fortune National Corp Ground Transportation Company Car (Field Only),company car field only sep travel and entertainment fortune national corp ground transportation company car field only
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Akorn Inc Feb2004 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment akorn inc company car field only ground transportation
Labour,Contingent Labor/Temp Labor Corporate Services Ashland Inc 2004Dec Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services ashland inc contingent labor temp labor human resources
Advertising,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting Apr 2004 Legg Mason Wood Walker Inc                              /Bd,smap prototype and comp production packaging design production artworking typesetting apr legg mason wood walker inc
Advertising,Media Buy - Traditional National Advertising Oct 2016 Crowley Milner & Co SMAP Magazines,media buy traditional national advertising oct crowley milner smap magazines
Passenger Road Transportation,Auto Leasing 2003-Jun  Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Passenger Road Transportation,Sep 2010 Fortune National Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,sep fortune national corp company car field only company car field only travel and entertainment ground transportation
Property Services,Store Management Lease/Rent Bartlett & Co /Oh/                                      /Adv Real Estate Base Rent Feb2015,store management lease rent bartlett adv real estate base rent
Advertising,SMAP Magazines National Advertising Media Buy - Traditional 2018-Jan  Fcm Investment Services Inc                             /Bd,smap magazines national advertising media buy traditional fcm investment services inc
Property Services,Base Rent Store Management Commonwealth Edison Co Oct-2000 Lease/Rent Real Estate,base rent store management commonwealth edison lease rent real estate
Advertising,SMAP Prototype and Comp Production/Packaging Design Production Artworking/Typesetting Nov-2001 Champion Parts Inc,smap prototype and comp production packaging design production artworking typesetting champion parts inc
Property Services,Frigikar Corp Base Rent 2018-Jun  Lease/Rent Real Estate Store Management,frigikar corp base rent lease rent real estate store management
Advertising,Media Buy - Traditional National Advertising Apr2015 Eac Industries Inc SMAP Magazines,media buy traditional national advertising eac industries inc smap magazines
Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Feb-2019 Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
Passenger Road Transportation,Company Car (Field Only) Jul 2005 Travel and Entertainment Daly John J Ground Transportation Company Car (Field Only),company car field only jul travel and entertainment daly john ground transportation company car field only
Passenger Road Transportation,Akzo Nobel Nv Company Car (Field Only) Aug2014 Company Car (Field Only) Ground Transportation Travel and Entertainment,akzo nobel company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Butler Manufacturing Co 2016Jul Travel and Entertainment,ground transportation company car field only company car field only butler manufacturing travel and entertainment
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2000-Sep  Chyron Corp Travel and Entertainment Company Car (Field Only),company car field only ground transportation chyron corp travel and entertainment company car field only
Advertising,Media Buy - Mobile or E-Mail Direct Digital Paid Media Apr 2012 Aristar Inc SMAP E-Messaging Media Buy,media buy mobile mail direct digital paid media apr aristar inc smap messaging media buy
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) 2006Nov Air Products & Chemicals Inc /De/,travel and entertainment company car field only ground transportation company car field only air products chemicals inc
Advertising,National Advertising Media Buy - Traditional Magazines Foothill Group Inc 2015-Feb  SMAP,national advertising media buy traditional magazines foothill group inc smap
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Fortune National Corp Ground Transportation Company Car (Field Only) 2010Oct,travel and entertainment company car field only fortune national corp ground transportation company car field only
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Apr2018 Deposit Guaranty Corp,store construction final site clean general contractor general requirements deposit guaranty corp
Logistics,Parcel/Postage/Courier Oct2007 Supply Chain Etz Lavud Ltd Logistics Transportation Services,parcel postage courier supply chain etz lavud ltd logistics transportation services
Labour,Contingent Labor/Temp Labor Human Resources 2009Jul Ashland Inc Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources ashland inc corporate services contingent labor temp labor
Property Services,Base Rent Store Management Amcast Industrial Corp Nov2016 Lease/Rent Real Estate,base rent store management amcast industrial corp lease rent real estate
Property Services,First National Of Nebraska Inc Jun 2018 Store Management Real Estate Lease/Rent Base Rent,first national nebraska inc jun store management real estate lease rent base rent
Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Apr-2003 Consolidated Natural Gas Service Co,corporate services contingent labor temp labor human resources contingent labor temp labor consolidated natural gas service
Labour,Contingent Labor/Temp Labor Corporate Services Ashland Inc 2017Aug Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services ashland inc contingent labor temp labor human resources
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Jul 2010 Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing jul corning inc
Labour,Jul-2003 Exotico Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,exotico inc contingent labor temp labor contingent labor temp labor corporate services human resources
Property Services,American Pad & Paper Co Final Site Clean Up Mar 2019 General Requirements General Contractor Store Construction,american pad paper final site clean mar general requirements general contractor store construction
Passenger Road Transportation,2004Jan Butler Manufacturing Co Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,butler manufacturing auto leasing auto leasing and maintenance corporate services other corporate services
Human Resources,Workmen's Insurance 2001Jun Corporate Services Three D Departments Inc Commercial Insurance Workmen's Insurance,workmen insurance corporate services three departments inc commercial insurance workmen insurance
Property Services,Store Construction General Requirements Erly Industries Inc General Contractor Final Site Clean Up Sep 2006,store construction general requirements erly industries inc general contractor final site clean sep
Property Services,Base Rent Store Management Data Documents Inc/De/ 2002-Aug  Lease/Rent Real Estate,base rent store management data documents inc lease rent real estate
Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Mar-2007 Cobe Laboratories Inc,corporate services contingent labor temp labor human resources contingent labor temp labor cobe laboratories inc
Charity & Trusts,Non-Procurable Charity Organizations Flexsteel Industries Inc Charity Organizations Charity Organizations Jun-2015,non procurable charity organizations flexsteel industries inc charity organizations charity organizations
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Sep-2014 Fortune National Corp,ground transportation travel and entertainment company car field only company car field only fortune national corp
Property Services,Base Rent Sep-2005 Store Management Cascade Corp Real Estate Lease/Rent,base rent store management cascade corp real estate lease rent
Property Services,Lease/Rent Real Estate 2016Aug Electro Rent Corp Store Management Base Rent,lease rent real estate electro rent corp store management base rent
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2017Jan Cooper Laboratories Inc Stockholders Liquidating Trust,ground transportation travel and entertainment company car field only company car field only cooper laboratories inc stockholders liquidating trust
Logistics,Logistics Transportation Services Freight Forwarders Services Other Alexander & Baldwin Inc Oct2006 Supply Chain,logistics transportation services freight forwarders services other alexander baldwin inc supply chain
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Feb2012 Metric Capital Corp                                     /Bd,travel and entertainment company car field only ground transportation company car field only metric capital corp
Advertising,Froley Revy Investment Co Inc Prototype and Comp Production/Packaging Design 2002Nov Artworking/Typesetting Production SMAP,froley revy investment inc prototype and comp production packaging design artworking typesetting production smap
Advertising,Post Card/Mailer SMAP Boston Co Inc Sep-2011 Direct Mail Printed Collateral,post card mailer smap boston inc direct mail printed collateral
Property Services,Mar2000 Ealing Corp Final Site Clean Up General Requirements Store Construction General Contractor,ealing corp final site clean general requirements store construction general contractor
Property Services,Store Construction General Requirements Exeter & Hampton Electric Co General Contractor Final Site Clean Up 2016Jul,store construction general requirements exeter hampton electric general contractor final site clean
Property Services,Base Rent Store Management Credit Suisse First Boston Inc May2010 Lease/Rent Real Estate,base rent store management credit suisse first boston inc lease rent real estate
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Aug2012 Colonial Trust Iii,store construction final site clean general contractor general requirements colonial trust iii
Passenger Road Transportation,Chyron Corp 2002Jul Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),chyron corp travel and entertainment ground transportation company car field only company car field only
Property Services,"Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission) Tri Valley Corp 2013Nov Store Management",real estate real estate services real estate general search appraisal realtor commission tri valley corp store management
Property Services,"Real Estate General (Search, Appraisal, Realtor Commission) Oct-2000 Store Management Tri Valley Corp Real Estate Real Estate Services",real estate general search appraisal realtor commission store management tri valley corp real estate real estate services
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Oct 2007 Butler Manufacturing Co,other corporate services corporate services auto leasing and maintenance auto leasing oct butler manufacturing
Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance 2016-Oct  Corporate Services Berkline Corp Other Corporate Services Auto Leasing and Maintenance,auto passenger road transportation repair and maintenance corporate services berkline corp other corporate services auto leasing and maintenance
Advertising,Magazines 2009-Jun  SMAP Casio Computer Co Ltd/Adr/ National Advertising Media Buy - Traditional,magazines smap casio computer ltd adr national advertising media buy traditional
Property Services,Exeter & Hampton Electric Co Final Site Clean Up 2004-Apr  General Requirements General Contractor Store Construction,exeter hampton electric final site clean general requirements general contractor store construction
Passenger Road Transportation,Aug 2005 Fortune National Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,aug fortune national corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Company Car (Field Only) Ground Transportation Oct 2011 Continental Insurance Co Travel and Entertainment Company Car (Field Only),company car field only ground transportation oct continental insurance travel and entertainment company car field only
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Mar 2017 Brother Industries Ltd/Adr/,ground transportation travel and entertainment company car field only company car field only mar brother industries ltd adr
Passenger Road Transportation,Mar 2016 Metric Capital Corp                                     /Bd Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,mar metric capital corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,2016-Aug  Fortune Natural Resources Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,fortune natural resources corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,May 2016 Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,may brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
Advertising,Prototype and Comp Production/Packaging Design SMAP Aquila Distributors Inc                                 /Bd 2001-Oct  Artworking/Typesetting Production,prototype and comp production packaging design smap aquila distributors inc artworking typesetting production
Passenger Road Transportation,Apr2013 Akorn Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,akorn inc company car field only company car field only travel and entertainment ground transportation
Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp Nov2007 Store Construction,general contractor general requirements final site clean ealing corp store construction
Property Services,Store Management Base Rent Real Estate Lease/Rent 2001Aug Fiat S P A /Adr/,store management base rent real estate lease rent fiat adr
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance 2001Aug Daly John J,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john
Property Services,Final Site Clean Up 2004Aug Store Construction Alexanders Inc General Contractor General Requirements,final site clean store construction alexanders inc general contractor general requirements
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Aug 2009 Butler Manufacturing Co,travel and entertainment company car field only ground transportation company car field only aug butler manufacturing
Agency Fee,"Public Relations Agency SMAP Fagenson & Co., Inc. 2017Nov Agency Fees & Commissions Events and Promotions",public relations agency smap fagenson inc agency fees commissions events and promotions
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements Jul-2010 Dollar General Corp,store construction final site clean general contractor general requirements dollar general corp
Property Services,Real Estate Lease/Rent Base Rent Fidelity Management & Research Co/Ma/ Mar 2019 Store Management,real estate lease rent base rent fidelity management research mar store management
Passenger Road Transportation,Company Car (Field Only) Jan 2010 Travel and Entertainment Fortune National Corp Ground Transportation Company Car (Field Only),company car field only jan travel and entertainment fortune national corp ground transportation company car field only
Property Services,Oct-2006 Franklin Resources Inc Final Site Clean Up General Requirements Store Construction General Contractor,franklin resources inc final site clean general requirements store construction general contractor
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Alco Standard Corp 2001-Jan  Travel and Entertainment,ground transportation company car field only company car field only alco standard corp travel and entertainment
