Category,Item_Description,UNSPSC_Segment_Code
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Magazines Ing Corporate Leaders Trust Jan 2010 SMAP,82000000
Transportation and Storage and Mail Services,Butler Manufacturing Co Apr 2003 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,78000000
Transportation and Storage and Mail Services,Metric Capital Corp                                     /Bd Apr 2006 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Ddl Electronics Inc Base Rent May2012 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Crown Crafts Inc Jan2014 Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,2000-Feb  Daly John J Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Oct2009 Daniel Industries Inc,80000000
Editorial and Design and Graphic and Fine Art Services,Direct Mail Printed Collateral Jun 2006 Charter Communications Inc SMAP Post Card/Mailer,82000000
Editorial and Design and Graphic and Fine Art Services,SMAP Media Buy - Mobile or E-Mail Direct Boston Co Inc Digital Paid Media E-Messaging Media Buy 2011-May ,82000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Big V Supermarkets Inc May 2004 Lease/Rent Real Estate,80000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Jun 2016 Baldwin & Lyons Inc,80000000
Management and Business Professionals and Administrative Services,Base Rent Aug2008 Store Management American Fidelity Assurance Co                          /Adv Real Estate Lease/Rent,80000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Aug2004 Store Construction Colonial Trust Iii General Contractor General Requirements,72000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Brown Forman Corp Sep 2010 Lease/Rent Real Estate,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Outdoor/Out of Home National Advertising Media Buy - Traditional Dec2007 Cgg Holding (U.S.) Inc.,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only) Jul-2007,78000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J 2013Jun Auto Leasing and Maintenance Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor 2015Nov Ashland Inc,80000000
Management and Business Professionals and Administrative Services,Lynton Group Inc 2015-Aug  Store Management Real Estate Lease/Rent Base Rent,80000000
Editorial and Design and Graphic and Fine Art Services,Canadian Pacific Railway Co/Cn Prototype and Comp Production/Packaging Design 2003-Jun  Artworking/Typesetting Production SMAP,82000000
Management and Business Professionals and Administrative Services,Base Rent Store Management American International Ventures Inc /De/ Mar2015 Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Mar 2005 Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Freight Forwarders Services Other Jul-2002 Supply Chain Alabama Power Co Logistics Transportation Services,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Akorn Inc Nov 2010 Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up 2009-Feb  Ealing Corp,72000000
Management and Business Professionals and Administrative Services,Lease/Rent Real Estate 2004-Apr  Baldwin Montrose Chemical Co Inc Restric Store Management Base Rent,80000000
Management and Business Professionals and Administrative Services,Corporate Services Retirement and Pension Funds Human Resources Benefits May 2003 Chase Manhattan Corp /De/,80000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Aug-2000 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2005-Sep  Cascade Corp,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation Sep 2018 Metric Capital Corp                                     /Bd Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,Dollar General Corp Feb-2014 Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Advertising,Other Agency Jun 2012 SMAP Eagle Food Centers Inc Production Agency Fees & Commissions 3,82100000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Store Construction Ealing Corp May2003 General Requirements General Contractor,72000000
Editorial and Design and Graphic and Fine Art Services,SMAP Media Buy - Traditional Fidelity Systematic Investment Plans National Advertising Outdoor/Out of Home Mar2000,82000000
Financial and Insurance Services,Corporate Services Building and Property Insurance Commercial Insurance Building and Property Insurance May2010 Corning Natural Gas Corp,84000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Citistreet Advisors Llc                                 /Bd Feb 2018 Corporate Services,78000000
Management and Business Professionals and Administrative Services,SMAP Public Relations Agency Events and Promotions Agency Fees & Commissions Oct2000 Alleco Inc,80000000
Editorial and Design and Graphic and Fine Art Services,Jan2010 Digital Equipment Corp Magazines Media Buy - Traditional SMAP National Advertising,82000000
Management and Business Professionals and Administrative Services,Base Rent 2000Jan Store Management Cox Communications Inc /Ga/ Real Estate Lease/Rent,80000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Apr 2001 Colonial Trust Iii,72000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Dart Industries Inc Jun 2014 Store Management,80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Decorator Industries Inc Real Estate Base Rent Sep-2005,80000000
Management and Business Professionals and Administrative Services,Ainsbrooke Corp 2008Oct Store Management Real Estate Lease/Rent Base Rent,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2010Apr Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Parcel/Postage/Courier Sep-2016 Supply Chain Alger Fred Management Inc Logistics Transportation Services,78000000
Transportation and Storage and Mail Services,Fort Howard Corp Miscellaneous Company Car (Field Only) 2010-Sep  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2001-Mar  Corning Inc /Ny,78000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Flightsafety International Inc Mar2009 Facility Construction,72000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Store Construction Anticline Uranium Inc Apr 2017 General Requirements General Contractor,72000000
Building and Facility Construction and Maintenance Services,Carrols Corp 2002Mar Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Transportation and Storage and Mail Services,Logistics Transportation Services Parcel/Postage/Courier Corporate Bond Trust Series 5 2001-Mar  Supply Chain,78000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Ddl Electronics Inc Nov2019 Lease/Rent Real Estate,80000000
Editorial and Design and Graphic and Fine Art Services,Feb 2001 Cgg Holding (U.S.) Inc. Outdoor/Out of Home Media Buy - Traditional SMAP National Advertising,82000000
Editorial and Design and Graphic and Fine Art Services,Legg Mason Wood Walker Inc                              /Bd Prototype and Comp Production/Packaging Design 2004Nov Artworking/Typesetting Production SMAP,82000000
Advertising,Other Agency SMAP Fidelity Trend Investment Plans Apr2013 Agency Fees & Commissions 3 Production,82100000
Advertising,Jan-2012 El Paso Natural Gas Co Other Agency Agency Fees & Commissions 3 SMAP Production,82100000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Facility Construction Athey Products Corp Jun-2010 General Requirements General Contractor,72000000
Management and Business Professionals and Administrative Services,Lease/Rent Real Estate Jul-2015 Allegheny Energy Inc Store Management Base Rent,80000000
Transportation and Storage and Mail Services,Auto Leasing Feb-2012 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,78000000
Building and Facility Construction and Maintenance Services,Capital Southwest Corp 2011Mar Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) 2016Jul,78000000
Editorial and Design and Graphic and Fine Art Services,Connecticut Yankee Atomic Power Co Jun 2004 SMAP Printed Collateral Direct Mail Post Card/Mailer,82000000
Building and Facility Construction and Maintenance Services,2003Jun Flightsafety International Inc Final Site Clean Up General Requirements Facility Construction General Contractor,72000000
Advertising,Production SMAP Agency Fees & Commissions 3 Other Agency 2006Dec American Bancservices Inc Ta                            /Ta,82100000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only) 2009Jul,78000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Apr 2002 Corning Inc /Ny,78000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Jun-2004 Carolina Power & Light Co,80000000
Management and Business Professionals and Administrative Services,Detection Systems Inc Contingent Labor/Temp Labor 2001-Nov  Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Building and Facility Construction and Maintenance Services,Electronics Missiles & Communications Inc Final Site Clean Up 2012-Aug  General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Supply Chain Transportation Services Alabama Power Co Logistics Freight Forwarders Services Other 2007-Jun ,78000000
Building and Facility Construction and Maintenance Services,2017-Sep  Ealing Corp Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fortune Natural Resources Corp Jun 2004 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Baldwin & Lyons Inc Real Estate Base Rent 2011-Apr ,80000000
Building and Facility Construction and Maintenance Services,Facility Construction Final Site Clean Up General Contractor General Requirements 2012-Feb  Flightsafety International Inc,72000000
Management and Business Professionals and Administrative Services,Base Rent Nov 2005 Store Management Bristol Myers Squibb Co Real Estate Lease/Rent,80000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Butler Manufacturing Co Jul2003 Auto Leasing and Maintenance Other Corporate Services,78000000
Transportation and Storage and Mail Services,Fort Howard Corp Miscellaneous Company Car (Field Only) May2016 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Editorial and Design and Graphic and Fine Art Services,"Production Digital/Social Digital Display Hornblower & Weeks, Inc. 2007Jan SMAP",82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Akorn Inc May 2009 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) May 2008 Brother Industries Ltd/Adr/,78000000
Management and Business Professionals and Administrative Services,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor Dec-2015 Alco Standard Corp,80000000
Management and Business Professionals and Administrative Services,Base Rent 2016-Dec  Store Management Accrued Equities Inc. Real Estate Lease/Rent,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Cal Maine Foods Inc Feb-2004 Lease/Rent Real Estate,80000000
Management and Business Professionals and Administrative Services,"Real Estate Lease/Rent Base Rent Cabrera Capital Markets, Inc. Apr2006 Facility Management",80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Daiwa Capital Markets America Inc. Real Estate Base Rent Dec2017,80000000
Management and Business Professionals and Administrative Services,For Better Living Inc Oct2006 Store Management Real Estate Lease/Rent Base Rent,80000000
Transportation and Storage and Mail Services,2007Feb Fort Howard Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Capital Southwest Corp Feb 2017 Store Construction,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Nov-2019 Travel and Entertainment Air Products & Chemicals Inc /De/ Ground Transportation Miscellaneous Company Car (Field Only),78000000
Editorial and Design and Graphic and Fine Art Services,E-Messaging Media Buy Dec2011 SMAP Bormans Inc /De/ Digital Paid Media Media Buy - Mobile or E-Mail Direct,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only) 2002Aug,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2015-May  Daly John J,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2015-Oct  Fort Howard Corp,78000000
Building and Facility Construction and Maintenance Services,Dollar General Corp Final Site Clean Up May 2009 General Requirements General Contractor Store Construction,72000000
Editorial and Design and Graphic and Fine Art Services,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Florida Public Utilities Co 2015May SMAP,82000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Cutco Industries Inc 2019Dec Store Management,80000000
Management and Business Professionals and Administrative Services,Lease/Rent Real Estate Nov 2005 Ddl Electronics Inc Store Management Base Rent,80000000
Transportation and Storage and Mail Services,Corning Inc /Ny Jun-2011 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor 2016Sep Corporate Services Ames Harry G Human Resources Contingent Labor/Temp Labor,80000000
Management and Business Professionals and Administrative Services,"SMAP Trade Show Expenses Automatic Data Processing Inc Events and Promotions Talent, Artists & Models for Trade Show Feb 2010",80000000
Management and Business Professionals and Administrative Services,Fortune Natural Resources Corp Base Rent May 2001 Lease/Rent Real Estate Store Management,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec-2019 Texas New Mexico Power Co,78000000
Building and Facility Construction and Maintenance Services,Colonial Trust Iii Final Site Clean Up 2014Mar General Requirements General Contractor Store Construction,72000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Cascade Corp Jan 2010 Lease/Rent Real Estate,80000000
Management and Business Professionals and Administrative Services,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Yeager Wood & Marshall Inc Feb2002 Corporate Services,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2016-Jul  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Media Buy - Mobile or E-Mail Direct Dr Pepper Co Digital Paid Media E-Messaging Media Buy 2007-Jul ,82000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Mar 2007 Babson Capital Management Llc,80000000
Building and Facility Construction and Maintenance Services,2000May First Union Real Estate Equity & Mortgage Investments Final Site Clean Up General Requirements Facility Construction General Contractor,72000000
Management and Business Professionals and Administrative Services,Decorator Industries Inc Base Rent 2015Jun Lease/Rent Real Estate Store Management,80000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up 2008Aug Store Construction American Pad & Paper Co General Contractor General Requirements,72000000
Building and Facility Construction and Maintenance Services,Deposit Guaranty Corp Apr2012 Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing Oct2003,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Oct2002 Travel and Entertainment Metric Capital Corp                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only) 2000-Jan ,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp Jul 2016 Travel and Entertainment,78000000
Editorial and Design and Graphic and Fine Art Services,Post Card/Mailer SMAP Charter Communications Inc Dec-2002 Direct Mail Printed Collateral,82000000
Transportation and Storage and Mail Services,Daly John J Miscellaneous Company Car (Field Only) Oct-2014 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Corning Inc /Ny Auto Leasing Jul 2012 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J 2003-Sep  Corporate Services,78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2001Sep Ddl Electronics Inc,80000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Jul 2011 Store Construction Colonial Trust Iii General Contractor General Requirements,72000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Sep-2010 Store Construction Franklin Resources Inc General Contractor General Requirements,72000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing 2005Nov,78000000
Editorial and Design and Graphic and Fine Art Services,Digital Paid Media Media Buy - Social Paid Social - Content Production with Influencer Costa Inc Nov 2008 SMAP,82000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Jul2016 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Corporate Services Finance Consulting Eagle Exploration Co Consulting Audit & Risk Consulting Feb2010,80000000
Transportation and Storage and Mail Services,Akzo Nobel Nv Miscellaneous Company Car (Field Only) 2006-Jun  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,Public Relations Agency 2008Nov SMAP Heritage Bancorp Inc Events and Promotions Agency Fees & Commissions,80000000
Editorial and Design and Graphic and Fine Art Services,Di An Controls Inc 2016-Dec  SMAP National Advertising Media Buy - Traditional Magazines,82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2012Sep Travel and Entertainment Metric Capital Corp                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Apr2009 Store Construction American Pad & Paper Co General Contractor General Requirements,72000000
Building and Facility Construction and Maintenance Services,American Pad & Paper Co Sep-2003 Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Management and Business Professionals and Administrative Services,Base Rent Nov-2014 Store Management Acorn Investment Trust Real Estate Lease/Rent,80000000
Transportation and Storage and Mail Services,Corning Inc /Ny Auto Leasing Aug 2005 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Transportation and Storage and Mail Services,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Apr-2000 Daly John J,78000000
Management and Business Professionals and Administrative Services,"Public Relations Agency SMAP Duke Energy Carolinas, Llc Apr-2011 Agency Fees & Commissions Events and Promotions",80000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services Bush J & Co Inc /Ct/ 2018-Aug  Contingent Labor/Temp Labor Human Resources,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Artworking/Typesetting Champion Parts Inc Production Prototype and Comp Production/Packaging Design Mar 2019,82000000
Management and Business Professionals and Administrative Services,Babson D L Bond Trust Jan-2003 Corporate Services Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Akzo Nobel Nv Ground Transportation Miscellaneous Company Car (Field Only) 2019Apr,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2018-May  Texas New Mexico Power Co,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Amax Inc /Ny/ Ground Transportation Miscellaneous Company Car (Field Only) 2001-Aug ,78000000
Management and Business Professionals and Administrative Services,Charter Medical Corp Dec 2005 Store Management Real Estate Lease/Rent Base Rent,80000000
Building and Facility Construction and Maintenance Services,Advanced Micro Devices Inc Final Site Clean Up 2016-Jul  General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only) 2011-Mar ,78000000
Transportation and Storage and Mail Services,Feb-2001 Daly John J Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,Delhaize America Inc May 2006 Store Management Real Estate Lease/Rent Base Rent,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Mar2016 Travel and Entertainment Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2008Jul Ameren Illinois Co,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management First Williston Corp                                    /Bd 2006-Jun  Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Mar 2009 Akzo Nobel Nv,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2004-Sep  Travel and Entertainment Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only),78000000
Editorial and Design and Graphic and Fine Art Services,E-Messaging Media Buy SMAP Borns & Co 2008-Oct  Media Buy - Mobile or E-Mail Direct Digital Paid Media,82000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Channel America Broadcasting Inc Feb-2019 Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Alco Standard Corp 2000-Mar  Corporate Services,78000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Corning Inc /Ny Jun 2001 Auto Leasing and Maintenance Other Corporate Services,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Daly John J 2010Jun Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2008Feb Federal Insurance Co,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Jan2008 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2018-Nov  Brother Industries Ltd/Adr/,78000000
Editorial and Design and Graphic and Fine Art Services,National Advertising SMAP Media Buy - Traditional Magazines 2013Dec Di Giorgio Corp,82000000
Management and Business Professionals and Administrative Services,Base Rent Mar2007 Store Management Dynatronics Inc Real Estate Lease/Rent,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Citistreet Advisors Llc                                 /Bd Sep 2011 Corporate Services,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Oct2004 Ealing Corp,72000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2014Dec Alabama Gas Corp,80000000
Organizations and Clubs,Non-Procurable Royalties Associated Banc-Corp Miscellaneous Non-Procurable Royalties 2015-Jun ,94000000
Transportation and Storage and Mail Services,Jan-2016 Butler Manufacturing Co Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Transportation and Storage and Mail Services,Fortune National Corp Miscellaneous Company Car (Field Only) 2004-Mar  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Organizations and Clubs,Charity Organizations Non-Procurable Charity Organizations Charity Organizations Apr2017 Algonquin Gas Transmission Co,94000000
Management and Business Professionals and Administrative Services,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Automatic Data Processing Inc Sep2004 SMAP",80000000
Editorial and Design and Graphic and Fine Art Services,2007-Apr  Cominco Ltd E-Messaging Media Buy Media Buy - Mobile or E-Mail Direct SMAP Digital Paid Media,82000000
Management and Business Professionals and Administrative Services,Base Rent Feb 2013 Store Management Brittingham Inc                                         /Bd Real Estate Lease/Rent,80000000
Transportation and Storage and Mail Services,"Logistics Transportation Services Freight Forwarders Services Other First Southwest Company, Llc Nov 2011 Supply Chain",78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Sep 2015,78000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Ford Motor Credit Co Llc General Contractor Final Site Clean Up Feb2018,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2000Jul Chyron Corp,78000000
Management and Business Professionals and Administrative Services,"Talent, Artists & Models for Trade Show SMAP Rbc Capital Markets Corporation Nov-2006 Trade Show Expenses Events and Promotions",80000000
Advertising,Other Agency May2008 SMAP Aquila Distributors Inc                                 /Bd Production Agency Fees & Commissions 3,82100000
Organizations and Clubs,Non-Procurable Charity Organizations Friendly Ice Cream Corp Charity Organizations Charity Organizations 2016-Mar ,94000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Nov 2014 Autotronic Systems Inc,80000000
Transportation and Storage and Mail Services,Supply Chain Transportation Services Alabama Power Co Logistics Freight Forwarders Services Other May2015,78000000
Editorial and Design and Graphic and Fine Art Services,National Advertising SMAP Media Buy - Traditional Magazines 2019-Dec  Eac Industries Inc,82000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Jan-2004 Butler National Corp,78000000
Building and Facility Construction and Maintenance Services,Cracker Barrel Old Country Store Inc Final Site Clean Up Nov-2006 General Requirements General Contractor Store Construction,72000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Christiana Companies Inc General Contractor Final Site Clean Up Oct2007,72000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor 2011Jun Corporate Services Detrex Corporation Human Resources Contingent Labor/Temp Labor,80000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Colonial Trust Iii 2006-Oct  Store Construction,72000000
Building and Facility Construction and Maintenance Services,Store Fixtures Store Construction Amp Inc 2017-Nov  Store Fixtures Fixtures,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation Jun2018 Brother Industries Ltd/Adr/ Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Advertising,2008Jun Fremont Corp Search Agency Agency Fees & Commissions 3 SMAP Production,82100000
Transportation and Storage and Mail Services,May-2005 Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
